站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20230605191523,23.6,1016.3,45,270,10.7,0.2,10168.3
58102,20230605191523,7.0,1000.4,10,282,2.3,0.1,10043.0
58118,20230605191523,3.5,1023.0,47,155,14.3,0.6,10388.1
58122,20230605191523,6.2,1022.8,45,315,1.7,0.5,10000.1
58203,20230605191523,6.0,1013.6,74,51,6.1,0.6,10020.4
58215,20230605191523,22.8,1025.6,91,307,5.1,0.7,10109.4
58221,20230605191523,19.4,1019.4,9,2,11.1,1.0,10060.2
58225,20230605191523,15.5,1020.7,44,251,10.3,0.3,10074.2
58236,20230605191523,1.2,1021.8,27,196,0.4,0.4,10127.1
58311,20230605191523,0.2,1016.0,10,76,6.8,0.3,10432.8
58314,20230605191523,33.6,1022.9,6,216,9.8,0.9,10408.6
58319,20230605191523,15.9,1020.7,81,177,14.6,0.3,10429.0
58321,20230605191523,30.3,1016.3,29,151,0.1,0.2,10160.5
58326,20230605191523,11.8,1010.8,57,325,3.0,0.5,10338.9
58336,20230605191523,16.2,1013.1,26,210,7.5,1.4,10192.7
58338,20230605191523,13.3,1009.4,70,119,7.1,0.5,10115.8
58414,20230605191523,31.4,1006.9,59,129,3.9,1.0,10179.9
58419,20230605191523,3.3,1026.4,2,203,5.3,0.9,10177.9
58424,20230605191523,31.2,1014.1,91,294,14.9,1.1,10165.8
58429,20230605191523,25.9,1023.6,76,345,0.0,0.0,10041.3
58436,20230605191523,15.1,1009.2,54,4,2.4,1.5,10043.9
58437,20230605191523,23.5,1010.9,7,140,4.6,0.3,10217.3
58520,20230605191523,17.2,1010.1,93,196,4.3,0.2,10392.7
58531,20230605191523,20.2,1005.1,81,101,10.2,0.7,10307.1
54406,20230605191523,21.7,1013.6,24,98,10.5,0.0,10198.6
54416,20230605191523,13.6,1018.3,37,57,8.7,1.0,10410.9
54511,20230605191523,11.2,1024.2,22,104,11.8,0.5,10184.4
58725,20230605191523,34.7,1019.4,97,8,10.0,1.2,10146.2
58730,20230605191523,2.2,1003.7,57,48,14.3,0.3,10119.4
58731,20230605191523,0.3,1003.2,62,92,14.5,0.5,10083.6
58734,20230605191523,0.6,1020.7,40,260,4.4,0.0,10276.3
58737,20230605191523,11.1,1021.2,31,286,7.6,0.2,10053.7
58744,20230605191523,24.0,1018.6,16,10,4.3,1.5,10135.7
58754,20230605191523,18.8,1019.9,78,38,1.2,1.5,10409.9
58818,20230605191523,7.9,1008.3,53,254,3.2,1.1,10239.3
58820,20230605191523,2.3,1001.5,73,43,8.4,0.2,10061.1
58834,20230605191523,11.3,1020.9,56,20,9.0,1.0,10144.4
58837,20230605191523,28.4,1007.1,61,184,5.0,1.4,10217.0
58843,20230605191523,26.9,1023.9,38,212,1.9,0.9,10397.9
58846,20230605191523,11.2,1020.9,34,0,3.9,1.3,10076.6
58847,20230605191523,11.2,1005.6,45,27,9.5,1.1,10023.0
58911,20230605191523,3.0,1016.2,50,25,11.8,1.3,10392.3
58918,20230605191523,28.2,1024.1,17,343,3.2,0.1,10021.3
58921,20230605191523,15.4,1001.4,74,336,3.0,0.3,10042.9
58926,20230605191523,7.6,1007.9,61,116,2.8,0.8,10152.9
58927,20230605191523,15.7,1015.3,63,105,8.2,1.1,10016.9
58931,20230605191523,7.7,1001.4,92,150,7.6,1.1,10239.6
58933,20230605191523,34.0,1007.2,13,294,5.6,1.4,10119.7
58936,20230605191523,11.4,1000.5,8,289,1.1,1.1,10438.0
58944,20230605191523,34.5,1026.0,41,357,8.5,0.2,10378.1
59113,20230605191523,22.4,1007.5,25,67,9.0,1.1,10140.1
59126,20230605191523,31.1,1008.5,96,318,8.7,0.8,10465.1
59133,20230605191523,27.7,1004.1,64,94,14.1,0.2,10390.0
59134,20230605191523,7.4,1013.6,2,274,11.9,0.2,10116.9
59321,20230605191523,26.7,1000.4,98,42,1.0,1.3,10357.2
52323,20230605191523,27.5,1002.8,84,10,1.5,1.5,10409.0
52418,20230605191523,15.4,1022.4,94,269,8.7,0.9,10148.9
52424,20230605191523,9.3,1001.9,80,12,2.3,0.9,10480.2
52436,20230605191523,28.4,1018.0,42,218,7.1,0.2,10474.3
52446,20230605191523,19.0,1002.1,15,105,10.2,0.9,10214.3
52447,20230605191523,9.9,1001.8,5,242,6.9,0.9,10026.0
52533,20230605191523,18.1,1010.6,60,256,8.8,1.4,10270.0
52546,20230605191523,32.5,1016.8,100,177,14.8,0.9,10093.0
52652,20230605191523,29.5,1000.8,81,323,4.5,0.2,10328.9
52661,20230605191523,0.4,1023.0,97,346,12.6,1.2,10236.0
52674,20230605191523,1.0,1005.2,65,336,6.0,1.5,10132.2
52679,20230605191523,15.5,1006.1,18,93,8.9,0.1,10272.8
52681,20230605191523,8.9,1012.2,31,202,14.5,0.2,10495.7
52787,20230605191523,32.5,1014.0,59,291,10.7,0.3,10066.9
52797,20230605191523,11.3,1025.9,52,23,1.1,1.5,10095.4
52884,20230605191523,31.0,1023.6,36,204,10.7,0.5,10398.0
52895,20230605191523,0.8,1015.2,13,50,3.4,0.2,10458.4
52983,20230605191523,10.4,1020.3,71,302,1.8,1.2,10357.5
52984,20230605191523,26.4,1003.7,24,51,14.7,1.0,10002.1
52986,20230605191523,23.4,1010.2,38,274,13.3,0.1,10184.8
52996,20230605191523,14.2,1021.0,2,112,10.2,0.9,10286.6
53821,20230605191523,17.3,1026.2,36,97,12.2,0.9,10250.3
53915,20230605191523,6.0,1014.0,58,169,12.7,0.8,10046.7
53923,20230605191523,10.7,1006.7,80,169,10.1,0.8,10309.6
56074,20230605191523,9.6,1011.3,87,308,7.3,1.1,10334.2
56080,20230605191523,4.1,1014.2,56,295,7.1,1.5,10234.4
56093,20230605191523,32.8,1000.7,77,26,4.2,0.1,10058.5
56096,20230605191523,16.8,1010.1,41,120,7.5,0.7,10083.5
57014,20230605191523,7.1,1018.9,66,192,3.3,1.5,10360.8
57996,20230605191523,19.4,1017.0,13,236,5.2,0.8,10281.8
59072,20230605191523,12.0,1002.8,89,338,11.5,0.5,10008.3
59082,20230605191523,3.2,1023.2,61,162,7.0,0.0,10041.7
59087,20230605191523,1.6,1005.6,73,103,11.1,0.9,10445.3
59088,20230605191523,23.2,1007.2,28,136,8.9,0.4,10045.0
59096,20230605191523,30.9,1018.7,49,76,7.7,1.2,10071.6
59097,20230605191523,10.5,1018.7,93,72,6.2,1.2,10171.9
59107,20230605191523,18.4,1012.7,18,30,12.8,0.9,10413.0
59116,20230605191523,29.4,1010.0,42,299,2.4,0.8,10082.9
59117,20230605191523,16.6,1015.2,41,97,12.4,0.8,10270.1
59271,20230605191523,8.1,1011.9,14,86,8.6,0.1,10086.0
59278,20230605191523,17.2,1017.6,34,303,1.8,1.4,10295.9
59280,20230605191523,32.5,1005.0,71,250,7.7,1.5,10365.8
59287,20230605191523,0.9,1005.9,27,49,9.6,1.0,10025.2
59289,20230605191523,5.6,1008.2,6,144,3.6,0.6,10293.6
59293,20230605191523,27.6,1020.7,70,285,3.8,0.6,10198.7
59294,20230605191523,5.4,1017.3,78,46,10.3,1.1,10011.7
59298,20230605191523,22.8,1007.3,31,183,9.7,0.8,10245.0
59303,20230605191523,10.6,1017.7,33,196,8.6,0.5,10007.4
59304,20230605191523,4.7,1004.4,12,348,13.8,0.8,10003.9
59306,20230605191523,28.7,1012.1,86,285,9.4,1.4,10108.5
59310,20230605191523,17.1,1025.2,45,129,2.7,1.0,10191.3
59316,20230605191523,14.6,1016.3,19,279,11.0,1.4,10228.6
59317,20230605191523,32.2,1017.1,30,250,10.2,0.4,10378.2
59324,20230605191523,3.6,1015.0,97,78,11.3,1.3,10176.3
59456,20230605191523,26.6,1009.1,100,59,0.8,1.1,10330.3
59462,20230605191523,13.5,1001.0,55,83,0.5,0.8,10401.7
59478,20230605191523,27.2,1010.6,23,115,6.9,0.7,10105.6
59485,20230605191523,34.2,1014.1,8,223,12.3,1.1,10064.0
59488,20230605191523,18.2,1011.2,38,106,3.3,0.9,10362.6
59493,20230605191523,25.2,1006.4,100,270,5.6,0.1,10209.4
