站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20230527115138,3.2,1015.8,23,255,6.6,1.1,10015.1
58102,20230527115138,25.0,1003.8,97,222,4.2,0.5,10070.6
58118,20230527115138,30.7,1024.7,98,116,12.0,0.7,10267.8
58122,20230527115138,7.7,1020.5,91,302,13.6,1.3,10040.4
58203,20230527115138,18.6,1018.2,31,189,0.5,0.0,10480.9
58215,20230527115138,22.8,1026.3,2,209,0.3,1.3,10008.0
58221,20230527115138,13.1,1013.3,27,168,7.0,1.5,10482.1
58225,20230527115138,23.6,1011.1,90,203,8.8,0.0,10030.7
58236,20230527115138,17.8,1006.6,11,218,4.5,0.4,10094.1
58311,20230527115138,11.0,1019.4,12,346,14.9,0.9,10474.6
58314,20230527115138,8.7,1017.4,19,281,7.3,1.2,10437.7
58319,20230527115138,21.0,1003.2,30,48,9.5,0.7,10392.9
58321,20230527115138,26.8,1009.3,49,183,10.6,0.3,10143.3
58326,20230527115138,27.4,1019.8,21,103,0.0,0.3,10101.0
58336,20230527115138,4.1,1012.8,45,182,11.5,0.6,10013.3
58338,20230527115138,7.5,1013.8,17,285,7.5,0.6,10350.5
58414,20230527115138,6.9,1024.7,18,317,12.0,1.4,10010.5
58419,20230527115138,17.5,1015.4,94,339,8.4,0.5,10249.7
58424,20230527115138,34.8,1024.1,65,264,14.7,0.0,10480.8
58429,20230527115138,2.5,1008.8,43,172,8.1,0.6,10074.3
58436,20230527115138,28.1,1006.1,64,222,12.3,0.9,10107.6
58437,20230527115138,4.5,1020.9,64,101,12.8,1.2,10358.4
58520,20230527115138,25.4,1000.8,36,349,2.1,0.7,10274.9
58531,20230527115138,13.2,1025.4,72,182,8.4,0.1,10128.4
54406,20230527115138,4.4,1005.6,77,127,8.2,0.3,10189.2
54416,20230527115138,7.1,1010.0,1,51,12.1,0.7,10040.3
54511,20230527115138,22.0,1019.8,78,124,4.6,0.4,10396.9
58725,20230527115138,11.5,1009.3,99,228,2.5,0.1,10226.7
58730,20230527115138,4.3,1000.7,58,49,6.3,0.9,10343.2
58731,20230527115138,32.9,1025.7,70,13,9.5,1.3,10142.5
58734,20230527115138,30.1,1017.1,83,0,5.9,0.3,10190.7
58737,20230527115138,2.7,1009.4,2,105,13.9,1.1,10047.4
58744,20230527115138,34.1,1012.2,36,176,0.9,0.4,10462.3
58754,20230527115138,26.2,1012.7,15,322,5.0,0.7,10002.4
58818,20230527115138,3.8,1003.5,85,15,4.1,1.0,10357.0
58820,20230527115138,33.3,1019.5,24,340,0.4,0.0,10194.8
58834,20230527115138,33.3,1016.5,51,0,9.8,0.2,10453.8
58837,20230527115138,17.4,1008.7,94,194,11.0,0.3,10246.7
58843,20230527115138,11.9,1004.3,88,49,0.0,0.4,10482.3
58846,20230527115138,16.2,1005.2,65,306,7.2,0.3,10337.7
58847,20230527115138,26.0,1012.2,45,324,8.9,0.7,10050.8
58911,20230527115138,33.4,1006.2,73,167,1.9,1.3,10197.3
58918,20230527115138,18.6,1021.5,94,161,7.0,0.0,10135.7
58921,20230527115138,13.0,1008.4,80,245,4.7,1.1,10169.8
58926,20230527115138,33.9,1009.7,72,202,4.4,0.3,10400.3
58927,20230527115138,8.4,1018.4,15,193,10.1,1.4,10110.8
58931,20230527115138,28.1,1010.3,58,62,8.0,0.6,10032.3
58933,20230527115138,34.9,1003.1,47,324,8.5,1.3,10142.8
58936,20230527115138,10.9,1001.7,3,206,5.5,0.1,10348.9
58944,20230527115138,20.8,1018.2,87,67,0.9,0.8,10210.7
59113,20230527115138,18.6,1010.3,86,125,14.3,0.7,10066.2
59126,20230527115138,19.8,1010.8,85,230,7.6,1.4,10186.3
59133,20230527115138,20.4,1005.0,46,158,3.2,1.5,10285.7
59134,20230527115138,1.5,1019.4,65,269,1.8,1.0,10496.6
59321,20230527115138,0.3,1020.4,42,190,14.4,0.3,10225.3
52323,20230527115138,3.6,1016.2,16,16,1.7,1.1,10199.5
52418,20230527115138,0.7,1008.2,2,308,4.2,1.4,10306.7
52424,20230527115138,1.4,1010.9,64,102,2.3,0.3,10419.7
52436,20230527115138,31.3,1006.2,32,181,8.8,0.1,10317.9
