站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20230527115302,14.6,1001.9,77,32,10.6,0.7,10378.4
58102,20230527115302,33.0,1000.7,97,274,13.6,0.4,10496.4
58118,20230527115302,27.3,1017.3,3,169,4.9,1.5,10269.4
58122,20230527115302,26.7,1022.3,22,13,3.0,0.2,10352.4
58203,20230527115302,0.7,1001.5,51,297,5.9,0.3,10123.6
58215,20230527115302,13.3,1020.9,53,38,1.1,0.4,10095.1
58221,20230527115302,20.3,1011.0,45,251,12.3,0.2,10057.7
58225,20230527115302,9.2,1011.9,16,160,9.4,1.2,10373.1
58236,20230527115302,21.2,1016.7,9,93,0.0,0.6,10466.6
58311,20230527115302,24.5,1007.7,45,179,10.1,0.8,10219.1
58314,20230527115302,23.1,1015.8,31,155,10.3,0.2,10409.7
58319,20230527115302,24.6,1006.3,12,203,13.9,0.6,10018.3
58321,20230527115302,20.0,1014.2,10,311,3.7,0.1,10282.5
58326,20230527115302,32.2,1021.2,7,358,1.7,0.2,10455.4
58336,20230527115302,32.6,1023.0,8,215,9.9,0.5,10191.9
58338,20230527115302,8.9,1022.5,42,315,8.8,1.2,10163.9
58414,20230527115302,20.6,1023.6,87,152,14.3,1.1,10287.5
58419,20230527115302,3.3,1020.4,40,299,9.2,1.4,10381.7
58424,20230527115302,33.1,1007.2,96,241,10.3,0.6,10151.3
58429,20230527115302,14.0,1012.8,72,238,0.9,1.2,10198.5
58436,20230527115302,18.8,1001.4,38,339,5.0,1.1,10119.6
58437,20230527115302,11.3,1008.9,68,208,8.3,0.6,10298.5
58520,20230527115302,16.4,1018.3,66,268,6.1,0.1,10089.1
58531,20230527115302,7.1,1010.7,40,58,11.1,1.0,10353.1
54406,20230527115302,4.0,1019.0,23,21,4.4,0.3,10323.4
54416,20230527115302,13.7,1019.5,45,61,5.4,1.5,10473.0
54511,20230527115302,29.4,1023.3,70,297,13.2,0.6,10212.8
58725,20230527115302,33.4,1015.9,28,207,6.9,1.0,10304.4
58730,20230527115302,1.3,1018.7,6,224,10.4,1.2,10362.1
58731,20230527115302,0.8,1025.6,31,8,12.6,1.0,10003.3
58734,20230527115302,28.5,1013.4,12,310,6.2,0.4,10015.5
58737,20230527115302,14.4,1002.6,45,199,1.6,0.0,10492.8
58744,20230527115302,1.0,1002.5,76,347,6.7,0.9,10293.6
58754,20230527115302,30.1,1016.3,1,55,5.4,1.4,10232.2
58818,20230527115302,34.9,1019.1,66,263,4.7,0.0,10145.5
58820,20230527115302,0.9,1007.6,73,288,2.2,0.1,10470.3
58834,20230527115302,14.3,1026.3,99,25,13.3,1.4,10260.2
58837,20230527115302,21.7,1005.9,68,86,12.4,0.8,10083.3
58843,20230527115302,3.7,1001.5,78,51,0.9,0.2,10024.0
58846,20230527115302,11.6,1003.5,61,8,7.6,0.5,10152.1
58847,20230527115302,10.6,1025.9,78,301,4.7,1.5,10006.3
58911,20230527115302,10.2,1002.8,12,245,6.4,1.1,10322.5
58918,20230527115302,4.1,1024.4,19,329,5.1,1.5,10024.5
58921,20230527115302,15.6,1025.2,56,57,11.2,0.0,10359.1
58926,20230527115302,17.1,1022.6,67,160,0.7,1.1,10382.2
