站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20230527115301,25.9,1010.3,88,182,10.7,0.3,10279.7
58102,20230527115301,27.7,1011.3,76,61,5.7,1.0,10243.7
58118,20230527115301,3.5,1014.2,98,318,2.1,1.1,10052.2
58122,20230527115301,10.9,1026.4,100,272,9.4,1.1,10138.6
58203,20230527115301,30.5,1014.4,88,148,3.2,0.6,10051.3
58215,20230527115301,34.7,1010.9,41,355,4.7,1.5,10087.8
58221,20230527115301,7.7,1014.3,48,137,2.7,0.4,10471.3
58225,20230527115301,5.5,1013.8,66,243,9.7,0.0,10337.4
58236,20230527115301,10.9,1018.9,73,243,14.8,1.1,10493.2
58311,20230527115301,34.6,1009.4,27,334,5.8,0.2,10263.9
58314,20230527115301,10.2,1002.3,98,51,13.6,0.8,10136.2
58319,20230527115301,34.8,1001.2,69,257,7.6,0.1,10330.3
58321,20230527115301,10.8,1012.3,88,199,4.4,0.3,10353.7
58326,20230527115301,10.0,1015.2,40,266,11.1,1.3,10360.4
58336,20230527115301,24.2,1023.9,94,198,6.7,1.1,10424.3
58338,20230527115301,12.1,1005.7,22,352,13.0,1.0,10015.1
58414,20230527115301,6.0,1022.8,34,213,2.1,1.2,10414.6
58419,20230527115301,27.0,1022.5,53,271,0.7,0.3,10157.1
58424,20230527115301,11.9,1016.8,43,181,14.2,0.4,10405.4
58429,20230527115301,19.3,1001.4,61,278,11.8,0.9,10259.9
58436,20230527115301,2.4,1003.3,84,318,9.7,0.4,10128.9
58437,20230527115301,19.7,1023.0,2,288,2.5,0.9,10017.2
58520,20230527115301,29.4,1014.6,90,96,5.4,1.2,10380.3
58531,20230527115301,26.7,1009.2,21,271,10.3,1.2,10270.3
54406,20230527115301,30.6,1000.0,24,124,13.9,0.2,10068.6
54416,20230527115301,22.5,1007.9,31,188,11.6,0.7,10253.4
54511,20230527115301,1.3,1018.9,49,89,8.2,1.3,10137.7
58725,20230527115301,33.9,1014.3,87,318,14.5,0.6,10355.1
58730,20230527115301,9.0,1010.7,83,154,10.7,1.3,10230.9
58731,20230527115301,16.9,1020.3,85,16,13.9,0.7,10454.7
58734,20230527115301,29.4,1017.8,46,80,3.3,0.5,10188.3
58737,20230527115301,14.8,1001.8,19,244,0.8,0.0,10484.4
58744,20230527115301,8.5,1019.9,48,326,0.6,0.1,10406.5
58754,20230527115301,28.8,1001.1,31,224,9.9,0.7,10229.9
58818,20230527115301,10.0,1014.2,50,5,8.0,1.5,10398.3
58820,20230527115301,31.7,1001.5,79,311,12.5,0.8,10056.8
58834,20230527115301,10.7,1010.4,35,10,7.0,0.5,10066.9
58837,20230527115301,34.7,1011.3,78,294,10.1,0.7,10316.8
58843,20230527115301,34.2,1019.4,15,341,5.6,0.4,10033.3
58846,20230527115301,5.9,1003.3,37,212,10.3,1.5,10296.6
58847,20230527115301,4.0,1006.5,76,235,12.2,1.3,10141.5
58911,20230527115301,9.9,1005.7,2,13,5.7,0.6,10019.3
58918,20230527115301,0.3,1011.5,30,82,11.4,1.5,10322.3
58921,20230527115301,18.0,1010.8,95,338,12.6,1.1,10311.0
58926,20230527115301,31.5,1001.0,99,301,11.5,0.9,10159.3
58927,20230527115301,28.6,1014.4,34,152,2.8,0.2,10234.6
